lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
1e-06,1249,,,,,,,,,,,,,,
,1249,0.031436987221241,0.0001116980129154399,0.031436987221241,1249.0,13,,,,,,,,,
,1259,,,,,13,0.071212999522686,0.00026743090711534023,0.071212999522686,0.07801242917776108,0.0003113893617410213,0.07801242917776108,,,
,1259,,,,,13,,,,,,,0.11297047138214111,0.006658548954874277,0.11297047138214111
1e-06,1299,,,,,,,,,,,,,,
,1299,0.30452775955200195,0.0016362691530957818,0.30452775955200195,1299.0,14,,,,,,,,,
1e-06,1349,,,,,,,,,,,,,,
,1349,0.004597088322043419,2.510008926037699e-05,0.004597088322043419,1349.0,14,,,,,,,,,
,1349,,,,,14,0.09871915727853775,0.00038400781340897083,0.09871915727853775,0.10319992899894714,0.0005106403259560466,0.10319992899894714,,,
,1349,,,,,14,,,,,,,0.13170315325260162,0.0018625408411026,0.13170315325260162
1e-06,1399,,,,,,,,,,,,,,
,1399,0.040608443319797516,0.0001447967952117324,0.040608443319797516,1399.0,15,,,,,,,,,
,1439,,,,,15,0.12639480829238892,0.0017509856261312962,0.12639480829238892,0.1688486784696579,0.0009570968104526401,0.1688486784696579,,,
,1439,,,,,15,,,,,,,0.1262161284685135,0.0067421868443489075,0.1262161284685135
1e-06,1449,,,,,,,,,,,,,,
,1449,0.37864387035369873,0.0033997821155935526,0.37864387035369873,1449.0,16,,,,,,,,,
1e-06,1499,,,,,,,,,,,,,,
,1499,0.48934096097946167,0.006360469851642847,0.48934096097946167,1499.0,16,,,,,,,,,
,1529,,,,,16,0.0808698832988739,0.0003867588529828936,0.0808698832988739,0.09327273070812225,0.0003362783754710108,0.09327273070812225,,,
,1529,,,,,16,,,,,,,0.12338574975728989,0.0063674673438072205,0.12338574975728989
1e-06,1549,,,,,,,,,,,,,,
,1549,0.12115597724914551,0.00040113754221238196,0.12115597724914551,1549.0,17,,,,,,,,,
1e-06,1599,,,,,,,,,,,,,,
,1599,0.013646035455167294,6.008734635543078e-05,0.013646035455167294,1599.0,17,,,,,,,,,
,1619,,,,,17,0.11639531701803207,0.0009249559370800853,0.11639531701803207,0.06077565625309944,0.00022276604431681335,0.06077565625309944,,,
,1619,,,,,17,,,,,,,0.11899644881486893,0.0013852649135515094,0.11899644881486893
1e-06,1649,,,,,,,,,,,,,,
,1649,0.03523661941289902,0.00013114494504407048,0.03523661941289902,1649.0,18,,,,,,,,,
1e-06,1699,,,,,,,,,,,,,,
,1699,0.018843915313482285,7.621057739015669e-05,0.018843915313482285,1699.0,18,,,,,,,,,
,1709,,,,,18,0.07882382720708847,0.0003692579339258373,0.07882382720708847,0.1506432741880417,0.0017881228122860193,0.1506432741880417,,,
,1709,,,,,18,,,,,,,0.10416146367788315,0.001285614795051515,0.10416146367788315
1e-06,1749,,,,,,,,,,,,,,
,1749,0.2501716911792755,0.0012578812893480062,0.2501716911792755,1749.0,19,,,,,,,,,
1e-06,1799,,,,,,,,,,,,,,
,1799,0.009674137458205223,4.271424768376164e-05,0.009674137458205223,1799.0,19,,,,,,,,,
,1799,,,,,19,0.0636385828256607,0.00029205367900431156,0.0636385828256607,0.08495457470417023,0.0007616736693307757,0.08495457470417023,,,
,1799,,,,,19,,,,,,,0.12364914268255234,0.0016857017762959003,0.12364914268255234
1e-06,1849,,,,,,,,,,,,,,
,1849,0.11131542921066284,0.0003717875515576452,0.11131542921066284,1849.0,20,,,,,,,,,
,1889,,,,,20,0.09463128447532654,0.0007374219130724669,0.09463128447532654,0.1286480873823166,0.0008073542267084122,0.1286480873823166,,,
,1889,,,,,20,,,,,,,0.12300913780927658,0.0011748741380870342,0.12300913780927658
1e-06,1899,,,,,,,,,,,,,,
,1899,0.13804219663143158,0.00046676929923705757,0.13804219663143158,1899.0,21,,,,,,,,,
1e-06,1949,,,,,,,,,,,,,,
,1949,0.002671158406883478,1.561120734550059e-05,0.002671158406883478,1949.0,21,,,,,,,,,
,1979,,,,,21,0.15379886329174042,0.0034633083269000053,0.15379886329174042,0.10492544621229172,0.0006087052170187235,0.10492544621229172,,,
,1979,,,,,21,,,,,,,0.11747478693723679,0.0009428430930711329,0.11747478693723679
1e-06,1999,,,,,,,,,,,,,,
,1999,0.04515822231769562,0.00015989346138667315,0.04515822231769562,1999.0,22,,,,,,,,,
,1999,,,,,22,,,,,,,0.10012172162532806,0.0007002752972766757,0.10012172162532806
